Features	feature_importance
Nuclei_AreaShape_Zernike_4_4	0.006339927460155623
Cells_Correlation_Costes_DAPI_RFP	0.006142390983568752
Nuclei_Texture_Correlation_GFP_3_02_256	0.006106882745198512
Nuclei_Correlation_Overlap_DAPI_GFP	0.005910910368696936
Cells_Intensity_MaxIntensityEdge_RFP	0.005783801834625953
Cytoplasm_Texture_InfoMeas1_GFP_3_00_256	0.005769304136922416
Cells_RadialDistribution_RadialCV_CY5_3of4	0.005636564796427212
Cytoplasm_Texture_Contrast_DAPI_3_00_256	0.005573996781940025
Cytoplasm_Intensity_MaxIntensityEdge_GFP	0.005490450057783487
Cells_Intensity_StdIntensityEdge_GFP	0.005366850541749981
Cytoplasm_Texture_InfoMeas1_GFP_3_02_256	0.00536093985840547
Nuclei_Intensity_IntegratedIntensity_RFP	0.005131864047249516
Cytoplasm_Texture_Correlation_DAPI_3_00_256	0.004996483794530863
Cells_Texture_Correlation_DAPI_3_02_256	0.004953358229481234
Nuclei_AreaShape_Zernike_8_8	0.004893987407585316
Cells_Texture_Correlation_RFP_3_01_256	0.0048435583568200375
Cells_Texture_Correlation_DAPI_3_00_256	0.004838981471426264
Nuclei_Texture_Correlation_DAPI_3_03_256	0.00468173432707768
Nuclei_Intensity_MaxIntensity_RFP	0.0046522817149197175
Nuclei_RadialDistribution_RadialCV_GFP_4of4	0.004483875491953926
Cytoplasm_Texture_InfoMeas1_GFP_3_03_256	0.004469652141271252
Nuclei_Correlation_RWC_RFP_GFP	0.0044020665374166395
Cells_Intensity_MeanIntensityEdge_CY5	0.004335016204668683
Nuclei_Correlation_K_RFP_GFP	0.004309665128460175
Cells_Texture_InfoMeas1_RFP_3_03_256	0.004291891686176491
Nuclei_Intensity_MADIntensity_CY5	0.00428189625138399
Cytoplasm_Texture_Contrast_DAPI_3_02_256	0.0041009026593822545
Nuclei_RadialDistribution_MeanFrac_RFP_3of4	0.004099213141856615
Cytoplasm_Correlation_Overlap_GFP_RFP	0.004090821070575297
Cells_Texture_InfoMeas2_GFP_3_00_256	0.003947676291770991
Nuclei_AreaShape_Zernike_2_0	0.0038844055810253754
Nuclei_Intensity_MADIntensity_DAPI	0.0038266103835174685
Nuclei_RadialDistribution_FracAtD_RFP_2of4	0.0038202339922734263
Cells_Texture_InfoMeas2_DAPI_3_00_256	0.003808044241755603
Nuclei_Correlation_K_GFP_DAPI	0.0037809392184660374
Nuclei_Texture_Correlation_DAPI_3_01_256	0.0037782886356967373
Cytoplasm_Intensity_IntegratedIntensity_DAPI	0.0036287464472150102
Cells_Texture_InfoMeas2_RFP_3_03_256	0.0036055541463430336
Cytoplasm_Texture_InfoMeas1_GFP_3_01_256	0.003580564878102441
Cytoplasm_Intensity_StdIntensityEdge_GFP	0.0035002653159050437
Nuclei_Intensity_LowerQuartileIntensity_GFP	0.0034601534459544926
Nuclei_Intensity_LowerQuartileIntensity_DAPI	0.0033691159196160944
Cells_RadialDistribution_RadialCV_CY5_4of4	0.0033629462558881448
Nuclei_RadialDistribution_MeanFrac_CY5_4of4	0.0032974236111228713
Cells_Intensity_IntegratedIntensityEdge_CY5	0.0032650788365748556
Nuclei_RadialDistribution_MeanFrac_DAPI_2of4	0.0032518440704132844
Nuclei_Texture_InfoMeas2_DAPI_3_01_256	0.0032482191941168473
Nuclei_Correlation_Correlation_GFP_RFP	0.0030144407239150023
Nuclei_RadialDistribution_MeanFrac_CY5_3of4	0.003008956250981639
Cells_RadialDistribution_MeanFrac_RFP_4of4	0.0029576753433790443
Cytoplasm_Texture_Correlation_DAPI_3_02_256	0.0029357691124904874
Nuclei_Correlation_K_RFP_DAPI	0.002911468062054209
Cytoplasm_Intensity_IntegratedIntensityEdge_CY5	0.00288663408879278
Nuclei_Intensity_IntegratedIntensityEdge_DAPI	0.002845288033800355
Cells_Intensity_MADIntensity_DAPI	0.002844216264881048
Cells_Correlation_RWC_DAPI_CY5	0.002821747616156795
Nuclei_Correlation_Overlap_DAPI_RFP	0.002770445122852709
Cytoplasm_Correlation_RWC_GFP_RFP	0.0027603939886059795
Cytoplasm_Intensity_IntegratedIntensityEdge_GFP	0.002723612049108807
Cells_Intensity_MaxIntensityEdge_DAPI	0.0026643010775565614
Nuclei_RadialDistribution_FracAtD_RFP_1of4	0.0026343769700697974
Cytoplasm_AreaShape_BoundingBoxArea	0.002579022383794765
Cytoplasm_AreaShape_Compactness	0.002578244197549618
Cytoplasm_Texture_Contrast_GFP_3_02_256	0.00257753171030474
Cytoplasm_RadialDistribution_FracAtD_DAPI_4of4	0.0025194486193974145
Nuclei_RadialDistribution_FracAtD_DAPI_2of4	0.0023776422595241055
Cells_Correlation_Overlap_CY5_DAPI	0.0023152643146656725
Cells_RadialDistribution_MeanFrac_CY5_3of4	0.002312149284337619
Cells_Intensity_MeanIntensityEdge_RFP	0.002250593340613031
Cells_Correlation_Correlation_DAPI_RFP	0.002236480962897161
Cells_RadialDistribution_FracAtD_RFP_2of4	0.0022358901884046217
Cytoplasm_Correlation_Manders_RFP_DAPI	0.0022298747037522763
Nuclei_Correlation_RWC_CY5_DAPI	0.0022072408115701944
Cytoplasm_RadialDistribution_MeanFrac_CY5_4of4	0.0021774999859377193
Cells_Correlation_RWC_DAPI_RFP	0.00214951910981211
Nuclei_RadialDistribution_MeanFrac_GFP_4of4	0.0020575065312114795
Nuclei_Correlation_Correlation_CY5_DAPI	0.002041328956748302
Cytoplasm_Texture_Contrast_RFP_3_01_256	0.001993460079467675
Nuclei_RadialDistribution_RadialCV_CY5_1of4	0.0019920026274146256
Nuclei_AreaShape_Compactness	0.0018951267280556724
Cytoplasm_RadialDistribution_RadialCV_DAPI_4of4	0.0018490099340919529
Nuclei_RadialDistribution_MeanFrac_GFP_3of4	0.0018395551211460692
Cytoplasm_Correlation_RWC_DAPI_CY5	0.0018384565428965604
Nuclei_AreaShape_Zernike_5_1	0.0018287480885534272
Cytoplasm_AreaShape_Zernike_2_2	0.001819607899870128
Cytoplasm_Correlation_Costes_RFP_DAPI	0.0017584737829819232
Nuclei_RadialDistribution_MeanFrac_GFP_2of4	0.0017305165388045076
Cells_AreaShape_Zernike_2_0	0.0016927443389556619
Cytoplasm_Intensity_MaxIntensity_DAPI	0.001686988536096303
Cytoplasm_Intensity_MassDisplacement_DAPI	0.0016799945228515125
Nuclei_AreaShape_Zernike_6_6	0.0016458956118625715
Nuclei_Texture_InverseDifferenceMoment_RFP_3_03_256	0.0016127947496907033
Nuclei_Correlation_RWC_DAPI_CY5	0.001560271361844906
Cytoplasm_AreaShape_MinorAxisLength	0.0015060118297052002
Cells_RadialDistribution_MeanFrac_GFP_3of4	0.001499566005388922
Nuclei_Texture_Correlation_DAPI_3_02_256	0.0014737541602251765
Nuclei_RadialDistribution_RadialCV_DAPI_4of4	0.0014716411395284776
Nuclei_Correlation_RWC_CY5_RFP	0.0014664629287784007
Cytoplasm_RadialDistribution_MeanFrac_RFP_3of4	0.0014069003394429813
Cytoplasm_RadialDistribution_MeanFrac_GFP_3of4	0.001393789179875765
Cytoplasm_Texture_InverseDifferenceMoment_RFP_3_00_256	0.001380187714326957
Cells_Texture_InfoMeas2_RFP_3_00_256	0.0013595763377172692
Nuclei_RadialDistribution_FracAtD_GFP_2of4	0.0013397087526902426
Cytoplasm_Texture_InverseDifferenceMoment_RFP_3_01_256	0.001337229784541684
Cytoplasm_RadialDistribution_RadialCV_CY5_2of4	0.0013368082550437412
Nuclei_RadialDistribution_FracAtD_GFP_1of4	0.0013312838930258312
Nuclei_AreaShape_Zernike_4_0	0.0013247856171626703
Cells_Texture_InfoMeas1_RFP_3_01_256	0.001322104646497269
Cells_Intensity_MedianIntensity_DAPI	0.0013184062730375726
Cells_RadialDistribution_FracAtD_GFP_2of4	0.0012918137010266637
Cytoplasm_RadialDistribution_MeanFrac_RFP_4of4	0.0012805728276823313
Cells_Texture_InfoMeas1_GFP_3_02_256	0.0012582448281774562
Nuclei_RadialDistribution_FracAtD_DAPI_3of4	0.0012361684687921726
Nuclei_AreaShape_MajorAxisLength	0.0011896469938298725
Cytoplasm_Texture_Contrast_RFP_3_02_256	0.001176520231152913
Cells_Intensity_MADIntensity_CY5	0.0011724378385767594
Cells_Texture_InfoMeas2_RFP_3_01_256	0.0011549817766463425
Nuclei_Intensity_IntegratedIntensity_DAPI	0.0011462351260579972
Cytoplasm_Correlation_Correlation_DAPI_GFP	0.0011276602086203456
Nuclei_Intensity_IntegratedIntensity_CY5	0.0011199181984749968
